Simulations,Runs,Undiscounted return,Undiscounted error,Discounted return,Discounted error,Time
1,1000,3.82,0.13171,3.82,0.13171,0.000590066
2,1000,3.845,0.122935,3.845,0.122935,0.000868633
4,1000,3.831,0.12558,3.831,0.12558,0.00142863
8,1000,3.572,0.121823,3.572,0.121823,0.00264334
16,1000,4.068,0.139819,4.068,0.139819,0.00493005
32,363,3.68595,0.226201,3.68595,0.226201,0.0138067
64,130,6.51538,0.691387,6.51538,0.691387,0.038578
128,46,10.6087,1.57349,10.6087,1.57349,0.110885
256,19,20.3158,3.03356,20.3158,3.03356,0.276708
512,10,26.8,5.14548,26.8,5.14548,0.535119
1024,5,39.2,2.59846,39.2,2.59846,1.13553
2048,3,35.6667,3.56942,35.6667,3.56942,2.43907
4096,2,-9,38.1838,-9,38.1838,4.7054
8192,1,-27,0,-27,0,5.06965
16384,1,-12,0,-12,0,5.15777
32768,1,-6,0,-6,0,5.47132
65536,1,-3,0,-3,0,5.64631
131072,1,-2,0,-2,0,7.64578
262144,1,-1,0,-1,0,7.85833
524288,1,-1,0,-1,0,15.6197
1048576,1,-1,0,-1,0,31.1089
