Simulations,Runs,Undiscounted return,Undiscounted error,Discounted return,Discounted error,Time
1,1000,3.82,0.13171,3.82,0.13171,0.000594621
2,1000,3.845,0.122935,3.845,0.122935,0.000875277
4,1000,3.831,0.12558,3.831,0.12558,0.00140641
8,1000,3.572,0.121823,3.572,0.121823,0.00264236
16,1000,4.068,0.139819,4.068,0.139819,0.00492763
32,352,3.91193,0.220757,3.91193,0.220757,0.0142313
64,132,4.9697,0.548282,4.9697,0.548282,0.0379042
128,44,12.1136,1.73569,12.1136,1.73569,0.116023
256,22,11.9091,2.49123,11.9091,2.49123,0.230232
512,10,19.8,5.257,19.8,5.257,0.541714
1024,5,38.8,2.87611,38.8,2.87611,1.20009
2048,3,24.6667,10.1689,24.6667,10.1689,1.98913
4096,2,40.5,0.353553,40.5,0.353553,4.80231
8192,1,-27,0,-27,0,5.1575
16384,1,-12,0,-12,0,5.15006
32768,1,-6,0,-6,0,5.45216
65536,1,-3,0,-3,0,5.72985
131072,1,-2,0,-2,0,7.65315
262144,1,-1,0,-1,0,7.88706
524288,1,-1,0,-1,0,16.1919
1048576,1,-1,0,-1,0,32.6365
