Simulations,Runs,Undiscounted return,Undiscounted error,Discounted return,Discounted error,Time
1,1000,3.9,0.136081,3.9,0.136081,0.00104192
2,1000,3.988,0.136813,3.988,0.136813,0.00185848
4,1000,3.84,0.125771,3.84,0.125771,0.00343363
8,750,3.752,0.140639,3.752,0.140639,0.00667249
16,368,3.78804,0.204753,3.78804,0.204753,0.0136068
32,162,3.43827,0.318837,3.43827,0.318837,0.0308987
64,67,5.97015,0.855829,5.97015,0.855829,0.0753566
128,15,8.4,2.23468,8.4,2.23468,0.351007
256,5,14.4,5.99066,14.4,5.99066,1.08791
512,1,27,0,27,0,5.14386
1024,1,-15,0,-15,0,5.00353
2048,1,-6,0,-6,0,5.21023
4096,1,-3,0,-3,0,5.67347
8192,1,-2,0,-2,0,8.36445
16384,1,-1,0,-1,0,10.8196
32768,1,-1,0,-1,0,21.8834
65536,1,-1,0,-1,0,45.8937
131072,1,-1,0,-1,0,100.747
